title,filename,medium,dimensions,price,category,publishedAt,altText
Lake Shore Drive at Irving Park,LSD-Irving.sm_.jpg,Oil on Canvas,"24""h x 48""w",2800,sold,2018-12-15T02:42:36.000Z,Lake Shore Drive at Irving Park
Bungalows at Damen,Bungalows-at-Damen_edited-1.jpg,Oil on Canvas,"36""h x 66""w",,sold,2019-04-16T18:31:56.000Z,Bungalows at Damen - Oil on Canvas
Moonrise,Moonrise.jpg,Oil on Canvas,"16""h x 20""w",,sold,2019-05-05T22:28:38.000Z,Moonrise
Cul de Sac Sunrise,Flag-street.jpg,Oil on Canvas,"20""h x 32""w",,sold,2019-08-20T19:03:51.000Z,Cul de Sac Sunrise
Bungalows at Damen,Bungalows-at-Damen.2.1.jpg,Oil on Canvas,"36""h x 66""w",,sold,2019-11-12T06:47:39.000Z,Bungalows at Damen
The Bridge at Clark,Bridge-at-Clark.jpg,Oil on Canvas,"42""h x 34""w",,sold,2019-12-11T22:40:14.000Z,"The Bridge at Clark,"
The Bridge at Lawrence,Bridge-at-Lawrence.jpg,Oil on Canvas,"22""h x 34""w",,sold,2019-12-11T22:40:27.000Z,"The Bridge at Lawrence,"
Strip Malls,Strip-Malls-scaled.jpg,Oil on Canvas,"34""h x 24""w",,sold,2019-12-11T22:45:07.000Z,"Strip Malls,"
The Third Yard Party,3rd-yard-party.jpg,Oil on Canvas,"26""h x 38""w",2400,urban-landscapes,2020-04-26T18:28:08.000Z,"The Third Yard Party,"
Water Taxi,Water-Taxi.sm_-scaled.jpg,Oil on Canvas,"32""h x 40""w",4400,sold,2021-01-04T21:56:10.000Z,"Water Taxi,"
Lakeshore Drive at Belmont,Overpass-at-Belmont_edited-4.jpg,Oil on Canvas,"55""h x 79""w",,sold,2021-01-19T04:09:50.000Z,"Lakeshore Drive at Belmont,"
The Aviary,Aviary.sm_.jpg,Oil on Canvas,"14""h x 16""w",,sold,2021-03-10T22:14:58.000Z,"The Aviary,"
